Wavelength (nm),Reflectance POS 171 (%R),Reflectance POS 229 (%R),Reflectance POS 287 (%R),Reflectance POS 345 (%R),Reflectance POS 403 (%R),Reflectance POS 1040 (%R),Reflectance POS 1097 (%R),Reflectance POS 1154 (%R),Reflectance POS 1211 (%R),Reflectance POS 1268 (%R),Reflectance POS 1373 (%R),Reflectance POS 1314 (%R),Reflectance POS 1255 (%R),Reflectance POS 1196 (%R),Reflectance POS 1137 (%R),Reflectance POS 728 (%R),Reflectance POS 670 (%R),Reflectance POS 612 (%R),Reflectance POS 554 (%R),Reflectance POS 496 (%R),Reflectance POS 1244 (%R),Reflectance POS 1186 (%R),Reflectance POS 1128 (%R),Reflectance POS 1070 (%R),Reflectance POS 1012 (%R),Reflectance POS 607 (%R),Reflectance POS 548 (%R),Reflectance POS 489 (%R),Reflectance POS 430 (%R),Reflectance POS 371 (%R),Reflectance POS 196 (%R),Reflectance POS 197 (%R),Reflectance POS 198 (%R),Reflectance POS 199 (%R),Reflectance POS 200 (%R),Reflectance POS 184 (%R),Reflectance POS 241 (%R),Reflectance POS 298 (%R),Reflectance POS 355 (%R),Reflectance POS 412 (%R),Reflectance POS 873 (%R),Reflectance POS 931 (%R),Reflectance POS 989 (%R),Reflectance POS 1047 (%R),Reflectance POS 1105 (%R),Reflectance POS 889 (%R),Reflectance POS 1003 (%R),Reflectance POS 684 (%R),Reflectance POS 799 (%R),Reflectance POS 1033 (%R)
390.9943237,7.313896179,7.563362122,7.85251236,7.369066238,7.546084404,6.295366764,5.99798727,6.199752331,6.395371437,6.321751118,47.7550087,48.58813858,47.88270569,48.82715225,49.469944,7.696463108,7.882982254,7.636973858,7.965078354,7.73210001,7.612620354,7.604771614,7.451118469,7.48777914,7.302483082,28.99138641,30.12604141,29.78936386,29.78158569,29.7651825,16.27518845,17.38990402,16.85621834,16.83925629,16.94234467,4.331279755,4.546999454,4.336351395,3.86826396,4.002789974,8.533667564,8.86250782,8.576538086,8.972887993,9.018973351,92.06762695,92.59685516,96.99828339,96.77648163,95.93493652
389.9876099,7.390400887,7.487061024,7.905508041,7.435993671,7.537675858,6.323019981,6.164147854,6.15968895,6.445363045,6.229571819,48.06022644,48.78192902,48.0344696,49.09915543,49.60308456,7.651396751,7.997463703,7.719590664,8.03887558,7.641307354,7.609104156,7.638827801,7.444010735,7.452319622,7.412342548,29.01805305,30.24091339,29.90906143,29.82396698,29.77372742,16.18122292,17.28240395,16.5999527,16.82154465,16.95343018,4.330387115,4.555792332,4.334609032,4.028024197,3.994154215,8.588015556,8.835221291,8.590485573,8.877353668,8.917043686,92.53855896,93.01072693,97.52635956,97.36322784,96.51964569
388.9807129,7.372398853,7.550348282,7.844229698,7.315312386,7.52921772,6.254442215,6.167366028,6.238827705,6.490944862,6.426365852,48.28040314,49.06399918,48.22487259,49.29999542,49.86289597,7.755926132,8.098613739,7.842693329,8.013865471,7.721554279,7.675839424,7.792860031,7.374585629,7.478328705,7.391692162,29.11563492,30.26785278,29.93175888,29.86306572,29.79864502,16.1479187,17.12177277,16.52469826,16.76308441,16.6780014,4.349382401,4.507252216,4.268491745,3.976209879,4.035346508,8.722974777,8.778195381,8.604111671,9.009222984,9.064269066,93.09638977,93.66194153,98.23775482,98.03944397,97.25830078
388.0124207,7.408547401,7.558683872,7.827406883,7.373269081,7.456829548,6.355191231,6.213017941,6.257238388,6.462717056,6.264651775,48.38365173,49.19523239,48.54279327,49.32287216,49.96891785,7.769730091,8.182707787,7.839752197,8.087757111,7.905155182,7.642002583,7.708971024,7.41527319,7.581233025,7.44999361,29.0111866,30.11938667,29.88828468,29.83143997,29.72593307,15.91611671,17.06212234,16.28471375,16.62271309,16.60259247,4.312091827,4.43904686,4.252588749,3.980442524,4.062319279,8.718955994,8.962755203,8.570518494,9.024986267,9.189059258,93.68765259,94.20639038,98.69081879,98.35536957,97.68088531
387.005188,7.381805897,7.581873417,7.778979778,7.504244804,7.539068222,6.29117918,6.243372917,6.331057072,6.476205826,6.324405193,48.60272217,49.45420837,48.81949234,49.77055359,50.36473083,7.857511044,8.18153286,7.91207695,8.135525703,7.890824795,7.716961384,7.606689453,7.435069084,7.540570259,7.486392498,29.12062454,30.31144714,29.88742065,29.86672783,29.87284088,15.88764191,16.97040939,16.24266243,16.41768837,16.62163353,4.434060097,4.558442593,4.293865204,4.000235081,4.026948929,8.763912201,8.974087715,8.576883316,8.976297379,9.218125343,94.38910675,94.91612244,99.44377899,99.20976257,98.38272095
385.9978638,7.292163372,7.667615414,8.035432816,7.402464867,7.514316559,6.461513996,6.309056282,6.380820274,6.463239193,6.316795826,48.92965698,49.6353569,49.01873016,50.07951736,50.65163803,7.99650383,8.242983818,7.906175613,8.12314415,7.944244385,7.708647728,7.728759766,7.528903484,7.565596581,7.51405859,29.11931229,30.33681488,30.09782791,30.03388977,29.77773285,15.74339294,16.78644943,16.25745964,16.63249969,16.55578804,4.405422688,4.540748119,4.215322018,4.04729557,3.916619062,8.885591507,8.941879272,8.705317497,9.156014442,9.230747223,95.18482971,95.6688385,100.2727661,99.96495819,99.08769226
384.990387,7.361515522,7.650716782,7.806455135,7.546642303,7.516568184,6.521412849,6.236230373,6.351142883,6.657334328,6.395739555,49.17088318,49.98089981,49.2553978,50.30957031,50.88700104,7.956400394,8.175021172,8.018710136,8.177618027,7.935497284,7.760381699,7.714925766,7.51296711,7.5107584,7.61103344,29.2831459,30.42249298,29.95620346,29.95464706,29.8047123,15.77922535,16.8535614,16.14332199,16.26490784,16.42250061,4.363102913,4.554334164,4.304461002,3.928304195,4.100319386,8.87987709,9.038131714,8.645417213,9.168759346,9.320075989,95.58974457,96.21482849,100.7451859,100.6186218,99.66933441
383.9826965,7.430757046,7.601602554,7.844295979,7.464535713,7.53622818,6.366163254,6.34910965,6.543198109,6.595317841,6.381812096,49.33030701,50.23643494,49.45167923,50.70072937,51.00863647,8.101551056,8.277492523,7.967490196,8.303721428,8.135007858,7.687696934,7.706093788,7.436118126,7.445322037,7.568818092,29.12615013,30.34484673,30.03351974,29.90270615,29.86724472,15.5846138,16.80938148,16.03611183,16.27523804,16.3625145,4.361837864,4.680701256,4.388338089,4.025416374,4.112084389,8.822779655,9.087675095,8.89152813,9.316143036,9.314990044,96.32026672,96.79312897,101.6412354,101.1686935,100.3621597
383.0136719,7.452031136,7.589368343,7.835949421,7.448131561,7.606683731,6.309993744,6.481475353,6.48985815,6.60013628,6.443125725,49.71440125,50.49941635,49.79356003,50.96128082,51.40403366,8.285985947,8.355409622,8.200478554,8.441086769,8.182066917,7.698632717,7.679550171,7.662839413,7.582335949,7.582253456,29.28391647,30.56361961,30.14818192,30.07014084,29.99580765,15.55851746,16.73424339,16.02329636,16.19241905,16.41401482,4.267249584,4.614253044,4.444470406,4.092626572,4.120172024,8.965027809,9.135835648,8.908208847,9.333116531,9.320439339,97.23442841,97.64203644,102.349617,102.1989441,101.3650284
382.0057068,7.384354591,7.648877144,8.056236267,7.514897823,7.53635788,6.552113056,6.498374939,6.581987381,6.77538681,6.509291172,49.97388077,50.6195488,50.19872665,50.96726227,51.61605453,8.207629204,8.514539719,8.193292618,8.46257019,8.205369949,7.716914177,7.860033035,7.671825409,7.558344841,7.605784416,29.35208321,30.63532066,30.31934166,30.07598305,29.84715652,15.62357426,16.58330917,15.97896767,16.14450645,16.33886147,4.394689083,4.525876999,4.400693893,3.932662249,4.082298756,8.981407166,9.185427666,9.003576279,9.349794388,9.374369621,97.94316101,98.47962952,103.0877075,102.7939301,102.0881271
